territorio,media_spettacoli_2017_2019,media_persone_2017_2019,media_persone_per_spettacolo_2017_2019,indice_resilienza_spettacoli_2021,cluster
Abruzzo,1998.6666666666667,414572.6666666667,207.24907741366908,20.063375583722483,0
Basilicata,477.0,130611.66666666667,287.01836922609647,19.07756813417191,0
Calabria,681.6666666666666,537386.0,793.6018489399603,26.699266503667484,2
Campania,1660.0,1773481.0,1067.6760775363311,31.506024096385545,2
Emilia-Romagna,10918.666666666666,3405120.6666666665,312.76476775789587,15.075100744901698,0
Friuli- Venezia Giulia,4744.0,878357.3333333334,185.70781965689855,22.048903878583474,0
Lazio,2473.3333333333335,3010309.6666666665,1224.746016160293,19.043126684636118,2
Liguria,2167.0,1178540.6666666667,544.114513391881,17.120443008767882,0
Lombardia,35434.333333333336,6513887.666666667,184.20527514281017,17.612861349162298,1
Marche,5646.333333333333,838712.6666666666,148.68798534514292,19.14516795560541,0
Molise,259.6666666666667,20848.333333333332,83.23058443347794,30.038510911424904,3
Piemonte,17918.666666666668,3049057.0,170.47680497636372,20.69908475332986,1
Puglia,1703.3333333333333,1211609.6666666667,711.9627251061783,24.36399217221135,2
Sardegna,1410.0,565675.3333333334,400.90854516171345,31.773049645390074,3
Sicilia,1376.6666666666667,826564.3333333334,600.7706931564588,26.0048426150121,2
Toscana,30617.0,3242345.0,105.90571352743234,23.666590456282457,1
Trentino-Alto Adige,2093.0,585590.6666666666,280.3431454505729,26.421404682274247,3
Umbria,2869.0,533115.6666666666,186.17173414353923,11.571976298361799,0
Valle d'Aosta,363.0,19203.333333333332,52.37932958475022,47.658402203856745,3
Veneto,10071.333333333334,1996167.0,198.15327609519372,18.14059707420401,0
