anno,territorio,livello_territoriale,categoria_sport,n_spettacoli,persone,media_ps,botteghino,pubblico
2021,Liguria,regione,Attività sportiva,371.0,243915.0,657.4528302,3936967.75,4172855.93
2021,Lombardia,regione,Attività sportiva,6241.0,1850192.0,296.457619,57501515.29,59733798.19
2021,Piemonte,regione,Attività sportiva,3709.0,910143.0,245.3877056,27788130.23,29210005.99
2021,Valle d'Aosta,regione,Attività sportiva,173.0,10024.0,57.94219653,115212.5,119521.5
2021,Tot Nord-ovest,macroarea,Attività sportiva,10494.0,3014274.0,287.2378502,89341825.77,93236181.61
2021,Emilia-Romagna,regione,Attività sportiva,1646.0,859231.0,522.0115431,18654296.76,18919828.38
2021,Friuli- Venezia Giulia,regione,Attività sportiva,1046.0,201825.0,192.9493308,3939206.0,4409033.28
2021,Trentino-Alto Adige,regione,Attività sportiva,553.0,170363.0,308.0705244,2686884.2,3047128.84
2021,Veneto,regione,Attività sportiva,1827.0,464207.0,254.0815545,6931791.06,7363545.0
2021,Tot Nord-est,macroarea,Attività sportiva,5072.0,1695626.0,334.3111199,32212178.02,33739535.5
2021,Lazio,regione,Attività sportiva,471.0,782300.0,1660.934183,16449089.04,16688122.07
2021,Marche,regione,Attività sportiva,1081.0,199983.0,184.9981499,2100860.2,2404432.45
2021,Toscana,regione,Attività sportiva,7246.0,830773.0,114.6526359,9225524.73,10017014.84
2021,Umbria,regione,Attività sportiva,332.0,108434.0,326.6084337,1028071.11,1153329.91
2021,Tot Centro,macroarea,Attività sportiva,9130.0,1921490.0,210.4589266,28803545.08,30262899.27
2021,Abruzzo,regione,Attività sportiva,401.0,92999.0,231.9177057,660700.07,776949.07
2021,Basilicata,regione,Attività sportiva,91.0,31506.0,346.2197802,427972.89,443820.04
2021,Calabria,regione,Attività sportiva,182.0,157739.0,866.6978022,1802259.99,1929154.74
2021,Campania,regione,Attività sportiva,523.0,695239.0,1329.328872,14014656.12,14886573.73
2021,Molise,regione,Attività sportiva,78.0,25554.0,327.6153846,412064.5,432598.5
2021,Puglia,regione,Attività sportiva,415.0,353713.0,852.3204819,4044505.94,4247766.11
2021,Tot Sud,macroarea,Attività sportiva,1690.0,1356750.0,802.8106509,21362159.51,22716862.19
2021,Sardegna,regione,Attività sportiva,448.0,176343.0,393.6227679,2239073.46,2291033.24
2021,Sicilia,regione,Attività sportiva,358.0,160748.0,449.0167598,1615599.15,1742241.13
2021,Tot Isole,macroarea,Attività sportiva,806.0,337091.0,418.2270471,3854672.61,4033274.37
2021,Totale complessivo,totale_nazionale,Attività sportiva,27192.0,8325231.0,306.1647176,175574380.99,183988752.94
2021,Liguria,regione,Sport calcio,342.0,240104.0,,,
2021,Lombardia,regione,Sport calcio,5595.0,1541446.0,,,
2021,Piemonte,regione,Sport calcio,3227.0,650598.0,,,
2021,Valle d'Aosta,regione,Sport calcio,154.0,5664.0,,,
2021,Tot Nord-ovest,macroarea,Sport calcio,9318.0,2437812.0,,,
2021,Emilia-Romagna,regione,Sport calcio,1185.0,514444.0,,,
2021,Friuli- Venezia Giulia,regione,Sport calcio,930.0,156538.0,,,
2021,Trentino-Alto Adige,regione,Sport calcio,266.0,30225.0,,,
2021,Veneto,regione,Sport calcio,1457.0,309502.0,,,
2021,Tot Nord-est,macroarea,Sport calcio,3838.0,1010709.0,,,
2021,Lazio,regione,Sport calcio,263.0,717630.0,,,
2021,Marche,regione,Sport calcio,896.0,147838.0,,,
2021,Toscana,regione,Sport calcio,6685.0,751441.0,,,
2021,Umbria,regione,Sport calcio,286.0,94753.0,,,
2021,Tot Centro,macroarea,Sport calcio,8130.0,1711662.0,,,
2021,Abruzzo,regione,Sport calcio,313.0,76383.0,,,
2021,Basilicata,regione,Sport calcio,80.0,30329.0,,,
2021,Calabria,regione,Sport calcio,159.0,146717.0,,,
2021,Campania,regione,Sport calcio,376.0,664330.0,,,
2021,Molise,regione,Sport calcio,70.0,23495.0,,,
2021,Puglia,regione,Sport calcio,288.0,317680.0,,,
2021,Tot Sud,macroarea,Sport calcio,1286.0,1258934.0,,,
2021,Sardegna,regione,Sport calcio,365.0,140833.0,,,
2021,Sicilia,regione,Sport calcio,260.0,143990.0,,,
2021,Tot Isole,macroarea,Sport calcio,625.0,284823.0,,,
2021,Totale complessivo,totale_nazionale,Sport calcio,23197.0,6703940.0,,,
2021,Liguria,regione,Sport di squadra non calcio,2.0,133.0,,,
2021,Lombardia,regione,Sport di squadra non calcio,450.0,191207.0,,,
2021,Piemonte,regione,Sport di squadra non calcio,206.0,56079.0,,,
