anno,territorio,livello_territoriale,categoria_sport,n_spettacoli,persone,media_ps,botteghino,pubblico,persone_medie_per_spettacolo,botteghino_medio_per_spettacolo,pubblico_medio_per_spettacolo,persone_per_spettacolo,n_spettacoli_nazionale,persone_nazionale,botteghino_nazionale,pubblico_nazionale,quota_spettacoli_nazionale,quota_persone_nazionale,quota_botteghino_nazionale,quota_pubblico_nazionale,variazione_assoluta_yoy_spettacoli,variazione_yoy_spettacoli,variazione_assoluta_yoy_persone,variazione_yoy_persone,ranking_spettacoli_anno,ranking_persone_anno,ranking_botteghino_anno,ranking_pubblico_anno,ranking_persone_medie_per_spettacolo_anno,ranking_botteghino_medio_per_spettacolo_anno,media_spettacoli_2017_2019,indice_resilienza_spettacoli_2021
2004,Abruzzo,regione,Attività sportiva,3536.0,435143.0,,,,123.0608031674208,,,123.0608031674208,172421.0,20995869.0,,,2.05079427679923,2.0725172175536053,,,,,,,10.0,13.0,,,10.0,,1998.6666666666667,20.063375583722483
2005,Abruzzo,regione,Attività sportiva,2595.0,352704.0,,,,135.91676300578035,,,135.91676300578035,142176.0,21604551.0,,,1.825202565833896,1.6325449207437823,,,-941.0,-26.61199095022625,-82439.0,-18.945266268789798,12.0,14.0,,,10.0,,1998.6666666666667,20.063375583722483
2006,Abruzzo,regione,Attività sportiva,2641.0,424625.0,,,,160.78190079515335,,,160.78190079515335,141965.0,25377897.0,,,1.8603176839361812,1.6732079888258669,,,46.0,1.772639691714839,71921.0,20.39131963346035,11.0,14.0,,,11.0,,1998.6666666666667,20.063375583722483
2007,Abruzzo,regione,Attività sportiva,4704.0,534731.0,,,,113.67580782312923,,,113.67580782312923,199984.0,30890294.0,,,2.352188175054005,1.731064780412903,,,2063.0,78.11435062476335,110106.0,25.930173682661174,12.0,15.0,,,13.0,,1998.6666666666667,20.063375583722483
2008,Abruzzo,regione,Attività sportiva,2789.0,445726.0,,,,159.81570455360344,,,159.81570455360344,143979.0,28909449.0,,,1.937088047562492,1.5418003988938012,,,-1915.0,-40.71003401360544,-89005.0,-16.64481767468129,10.0,15.0,,,12.0,,1998.6666666666667,20.063375583722483
2009,Abruzzo,regione,Attività sportiva,2623.0,530277.0,,,,202.1643156690812,,,202.1643156690812,141577.0,29645602.0,,,1.8527020631882296,1.7887206338397177,,,-166.0,-5.951954105414126,84551.0,18.969277089512392,10.0,13.0,,,9.0,,1998.6666666666667,20.063375583722483
2010,Abruzzo,regione,Attività sportiva,2664.0,539024.0,,,,202.33633633633636,,,202.33633633633636,141712.0,27924667.0,,,1.8798690301456475,1.9302790611612304,,,41.0,1.5630956919557848,8747.0,1.6495152533487325,9.0,13.0,,,8.0,,1998.6666666666667,20.063375583722483
2011,Abruzzo,regione,Attività sportiva,2412.0,540203.0,,,,223.96475953565505,,,223.96475953565505,136207.0,28843726.0,,,1.7708340981006847,1.8728613633342652,,,-252.0,-9.459459459459463,1179.0,0.2187286651429199,10.0,14.0,,,9.0,,1998.6666666666667,20.063375583722483
2012,Abruzzo,regione,Attività sportiva,2281.0,646467.0,,,,283.4138535729943,,,283.4138535729943,135844.0,28232930.0,,,1.679131945466859,2.2897623448930027,,,-131.0,-5.43117744610282,106264.0,19.67112363315273,11.0,13.0,,,7.0,,1998.6666666666667,20.063375583722483
2013,Abruzzo,regione,Attività sportiva,2332.0,532671.0,,,,228.4180960548885,,,228.4180960548885,141298.0,27183346.0,,,1.6504126031507875,1.9595490562493667,,,51.0,2.2358614642700614,-113796.0,-17.6027546649713,11.0,14.0,,,9.0,,1998.6666666666667,20.063375583722483
