anno,territorio,livello_territoriale,categoria_sport,n_spettacoli,persone,media_ps,botteghino,pubblico
2021,Liguria,regione,Sport calcio,342.0,240104.0,,,
2021,Lombardia,regione,Sport calcio,5595.0,1541446.0,,,
2021,Piemonte,regione,Sport calcio,3227.0,650598.0,,,
2021,Valle d'Aosta,regione,Sport calcio,154.0,5664.0,,,
2021,Tot Nord-ovest,macroarea,Sport calcio,9318.0,2437812.0,,,
2021,Emilia-Romagna,regione,Sport calcio,1185.0,514444.0,,,
2021,Friuli- Venezia Giulia,regione,Sport calcio,930.0,156538.0,,,
2021,Trentino-Alto Adige,regione,Sport calcio,266.0,30225.0,,,
2021,Veneto,regione,Sport calcio,1457.0,309502.0,,,
2021,Tot Nord-est,macroarea,Sport calcio,3838.0,1010709.0,,,
2021,Lazio,regione,Sport calcio,263.0,717630.0,,,
2021,Marche,regione,Sport calcio,896.0,147838.0,,,
2021,Toscana,regione,Sport calcio,6685.0,751441.0,,,
2021,Umbria,regione,Sport calcio,286.0,94753.0,,,
2021,Tot Centro,macroarea,Sport calcio,8130.0,1711662.0,,,
2021,Abruzzo,regione,Sport calcio,313.0,76383.0,,,
2021,Basilicata,regione,Sport calcio,80.0,30329.0,,,
2021,Calabria,regione,Sport calcio,159.0,146717.0,,,
2021,Campania,regione,Sport calcio,376.0,664330.0,,,
2021,Molise,regione,Sport calcio,70.0,23495.0,,,
2021,Puglia,regione,Sport calcio,288.0,317680.0,,,
2021,Tot Sud,macroarea,Sport calcio,1286.0,1258934.0,,,
2021,Sardegna,regione,Sport calcio,365.0,140833.0,,,
2021,Sicilia,regione,Sport calcio,260.0,143990.0,,,
2021,Tot Isole,macroarea,Sport calcio,625.0,284823.0,,,
2021,Totale complessivo,totale_nazionale,Sport calcio,23197.0,6703940.0,,,
2021,Liguria,regione,Sport di squadra non calcio,2.0,133.0,,,
2021,Lombardia,regione,Sport di squadra non calcio,450.0,191207.0,,,
2021,Piemonte,regione,Sport di squadra non calcio,206.0,56079.0,,,
2021,Valle d'Aosta,regione,Sport di squadra non calcio,0.0,0.0,,,
2021,Tot Nord-ovest,macroarea,Sport di squadra non calcio,658.0,247419.0,,,
2021,Emilia-Romagna,regione,Sport di squadra non calcio,241.0,155710.0,,,
2021,Friuli- Venezia Giulia,regione,Sport di squadra non calcio,88.0,30143.0,,,
2021,Trentino-Alto Adige,regione,Sport di squadra non calcio,26.0,25771.0,,,
2021,Veneto,regione,Sport di squadra non calcio,217.0,128576.0,,,
2021,Tot Nord-est,macroarea,Sport di squadra non calcio,572.0,340200.0,,,
2021,Lazio,regione,Sport di squadra non calcio,42.0,9896.0,,,
2021,Marche,regione,Sport di squadra non calcio,114.0,42382.0,,,
2021,Toscana,regione,Sport di squadra non calcio,215.0,36221.0,,,
2021,Umbria,regione,Sport di squadra non calcio,28.0,11824.0,,,
2021,Tot Centro,macroarea,Sport di squadra non calcio,399.0,100323.0,,,
2021,Abruzzo,regione,Sport di squadra non calcio,61.0,14350.0,,,
2021,Basilicata,regione,Sport di squadra non calcio,11.0,1177.0,,,
2021,Calabria,regione,Sport di squadra non calcio,22.0,5191.0,,,
2021,Campania,regione,Sport di squadra non calcio,47.0,18025.0,,,
2021,Molise,regione,Sport di squadra non calcio,8.0,2059.0,,,
2021,Puglia,regione,Sport di squadra non calcio,100.0,33251.0,,,
2021,Tot Sud,macroarea,Sport di squadra non calcio,249.0,74053.0,,,
2021,Sardegna,regione,Sport di squadra non calcio,31.0,22402.0,,,
2021,Sicilia,regione,Sport di squadra non calcio,61.0,10537.0,,,
2021,Tot Isole,macroarea,Sport di squadra non calcio,92.0,32939.0,,,
2021,Totale complessivo,totale_nazionale,Sport di squadra non calcio,1970.0,794934.0,,,
2021,Liguria,regione,Sport individuali,2.0,244.0,,,
2021,Lombardia,regione,Sport individuali,52.0,91836.0,,,
2021,Piemonte,regione,Sport individuali,38.0,166384.0,,,
2021,Valle d'Aosta,regione,Sport individuali,15.0,1232.0,,,
2021,Tot Nord-ovest,macroarea,Sport individuali,107.0,259696.0,,,
2021,Emilia-Romagna,regione,Sport individuali,63.0,112785.0,,,
2021,Friuli- Venezia Giulia,regione,Sport individuali,15.0,4600.0,,,
