anno,territorio,livello_territoriale,categoria_sport,n_spettacoli,persone,media_ps,botteghino,pubblico
2020,Tot Nord-ovest,macroarea,Attività sportiva,14449.0,2356331.0,,,
2020,Tot Nord-est,macroarea,Attività sportiva,8994.0,1616631.0,,,
2020,Tot Centro,macroarea,Attività sportiva,11852.0,1761785.0,,,
2020,Tot Sud,macroarea,Attività sportiva,2080.0,1023507.0,,,
2020,Tot Isole,macroarea,Attività sportiva,734.0,325993.0,,,
2019,Tot Nord-ovest,macroarea,Attività sportiva,52517.0,10594681.0,,,
2019,Tot Nord-est,macroarea,Attività sportiva,27458.0,7236543.0,,,
2019,Tot Centro,macroarea,Attività sportiva,41119.0,7740240.0,,,
2019,Tot Sud,macroarea,Attività sportiva,6364.0,3878125.0,,,
2019,Tot Isole,macroarea,Attività sportiva,2809.0,1455412.0,,,
2018,Tot Nord-ovest,macroarea,Attività sportiva,57330.0,11015504.0,,,
2018,Tot Nord-est,macroarea,Attività sportiva,27551.0,6725184.0,,,
2018,Tot Centro,macroarea,Attività sportiva,39891.0,7581939.0,,,
2018,Tot Sud,macroarea,Attività sportiva,6623.0,3883072.0,,,
2018,Tot Isole,macroarea,Attività sportiva,2843.0,1375143.0,,,
2017,Tot Nord-ovest,macroarea,Attività sportiva,57802.0,10671881.0,,,
2017,Tot Nord-est,macroarea,Attività sportiva,28472.0,6633980.0,,,
2017,Tot Centro,macroarea,Attività sportiva,43807.0,7551270.0,,,
2017,Tot Sud,macroarea,Attività sportiva,7354.0,4504331.0,,,
2017,Tot Isole,macroarea,Attività sportiva,2708.0,1346164.0,,,
2016,Tot Nord-ovest,macroarea,Attività sportiva,59429.0,10271600.0,,,
2016,Tot Nord-est,macroarea,Attività sportiva,29159.0,5971283.0,,,
2016,Tot Centro,macroarea,Attività sportiva,43811.0,7088989.0,,,
2016,Tot Sud,macroarea,Attività sportiva,7293.0,4294634.0,,,
2016,Tot Isole,macroarea,Attività sportiva,2878.0,1453088.0,,,
2015,Tot Nord-ovest,macroarea,Attività sportiva,57499.0,9792852.0,,,
2015,Tot Nord-est,macroarea,Attività sportiva,29896.0,5602049.0,,,
2015,Tot Centro,macroarea,Attività sportiva,44210.0,7721874.0,,,
2015,Tot Sud,macroarea,Attività sportiva,7016.0,3841917.0,,,
2015,Tot Isole,macroarea,Attività sportiva,2572.0,1505090.0,,,
2014,Tot Nord-ovest,macroarea,Attività sportiva,55940.0,9834152.0,,,
2014,Tot Nord-est,macroarea,Attività sportiva,30157.0,5461560.0,,,
2014,Tot Centro,macroarea,Attività sportiva,44060.0,7659038.0,,,
2014,Tot Sud,macroarea,Attività sportiva,6907.0,3959986.0,,,
2014,Tot Isole,macroarea,Attività sportiva,2445.0,1523219.0,,,
2013,Tot Nord-ovest,macroarea,Attività sportiva,56751.0,9975583.0,,,
2013,Tot Nord-est,macroarea,Attività sportiva,31994.0,5528465.0,,,
2013,Tot Centro,macroarea,Attività sportiva,43114.0,6950094.0,,,
2013,Tot Sud,macroarea,Attività sportiva,7193.0,3459117.0,,,
2013,Tot Isole,macroarea,Attività sportiva,2246.0,1270087.0,,,
2012,Tot Nord-ovest,macroarea,Attività sportiva,51089.0,10486304.0,,,
2012,Tot Nord-est,macroarea,Attività sportiva,31123.0,5576695.0,,,
2012,Tot Centro,macroarea,Attività sportiva,44318.0,7055586.0,,,
2012,Tot Sud,macroarea,Attività sportiva,6887.0,3697481.0,,,
2012,Tot Isole,macroarea,Attività sportiva,2427.0,1416864.0,,,
2011,Tot Nord-ovest,macroarea,Attività sportiva,50579.0,10235940.0,,,
2011,Tot Nord-est,macroarea,Attività sportiva,32101.0,5801567.0,,,
2011,Tot Centro,macroarea,Attività sportiva,43560.0,7022444.0,,,
2011,Tot Sud,macroarea,Attività sportiva,7258.0,4136678.0,,,
2011,Tot Isole,macroarea,Attività sportiva,2709.0,1647097.0,,,
2010,Tot Nord-ovest,macroarea,Attività sportiva,52506.0,9437661.0,,,
2010,Tot Nord-est,macroarea,Attività sportiva,34863.0,5720659.0,,,
2010,Tot Centro,macroarea,Attività sportiva,42758.0,6863429.0,,,
2010,Tot Sud,macroarea,Attività sportiva,9076.0,4138252.0,,,
2010,Tot Isole,macroarea,Attività sportiva,2509.0,1764666.0,,,
2009,Tot Nord-ovest,macroarea,Attività sportiva,55146.0,10166182.0,,,
2009,Tot Nord-est,macroarea,Attività sportiva,34624.0,5946951.0,,,
2009,Tot Centro,macroarea,Attività sportiva,40153.0,7742822.0,,,
2009,Tot Sud,macroarea,Attività sportiva,8645.0,4208495.0,,,
2009,Tot Isole,macroarea,Attività sportiva,3009.0,1581152.0,,,
2008,Tot Nord-ovest,macroarea,Attività sportiva,52490.0,9890136.0,,,
2008,Tot Nord-est,macroarea,Attività sportiva,37047.0,5584385.0,,,
2008,Tot Centro,macroarea,Attività sportiva,41858.0,7415707.0,,,
2008,Tot Sud,macroarea,Attività sportiva,9525.0,4119803.0,,,
2008,Tot Isole,macroarea,Attività sportiva,3059.0,1899418.0,,,
2007,Tot Nord-ovest,macroarea,Attività sportiva,63028.0,10353734.0,,,
2007,Tot Nord-est,macroarea,Attività sportiva,50672.0,5962705.0,,,
2007,Tot Centro,macroarea,Attività sportiva,54755.0,8035773.0,,,
2007,Tot Sud,macroarea,Attività sportiva,23635.0,4562703.0,,,
2007,Tot Isole,macroarea,Attività sportiva,7894.0,1975379.0,,,
2005,Tot Nord-ovest,macroarea,Attività sportiva,53816.0,8407794.0,,,
2005,Tot Nord-est,macroarea,Attività sportiva,36044.0,3615083.0,,,
2005,Tot Centro,macroarea,Attività sportiva,38603.0,5940366.0,,,
2005,Tot Sud,macroarea,Attività sportiva,9639.0,2686403.0,,,
2005,Tot Isole,macroarea,Attività sportiva,4074.0,954905.0,,,
2004,Tot Nord-ovest,macroarea,Attività sportiva,60488.0,7065977.0,,,
2004,Tot Nord-est,macroarea,Attività sportiva,46301.0,3874629.0,,,
2004,Tot Centro,macroarea,Attività sportiva,48277.0,6003699.0,,,
2004,Tot Sud,macroarea,Attività sportiva,11874.0,2716666.0,,,
2004,Tot Isole,macroarea,Attività sportiva,5481.0,1334898.0,,,
2006,Tot Nord-ovest,macroarea,Attività sportiva,52508.0,9693032.0,,,
2006,Tot Nord-est,macroarea,Attività sportiva,36817.0,4447684.0,,,
2006,Tot Centro,macroarea,Attività sportiva,39571.0,6657980.0,,,
2006,Tot Sud,macroarea,Attività sportiva,9814.0,3325152.0,,,
2006,Tot Isole,macroarea,Attività sportiva,3255.0,1254049.0,,,
2021,Tot Nord-ovest,macroarea,Attività sportiva,10494.0,3014274.0,287.2378502,89341825.77,93236181.61
2021,Tot Nord-est,macroarea,Attività sportiva,5072.0,1695626.0,334.3111199,32212178.02,33739535.5
2021,Tot Centro,macroarea,Attività sportiva,9130.0,1921490.0,210.4589266,28803545.08,30262899.27
2021,Tot Sud,macroarea,Attività sportiva,1690.0,1356750.0,802.8106509,21362159.51,22716862.19
2021,Tot Isole,macroarea,Attività sportiva,806.0,337091.0,418.2270471,3854672.61,4033274.37
