anno,territorio,livello_territoriale,categoria_sport,n_spettacoli,persone,media_ps,botteghino,pubblico
2020,Liguria,regione,Attività sportiva,766.0,218997.0,,,
2020,Lombardia,regione,Attività sportiva,9509.0,1492688.0,,,
2020,Piemonte,regione,Attività sportiva,4087.0,640681.0,,,
2020,Valle d'Aosta,regione,Attività sportiva,87.0,3965.0,,,
2020,Emilia-Romagna,regione,Attività sportiva,3102.0,681954.0,,,
2020,Friuli- Venezia Giulia,regione,Attività sportiva,1676.0,221322.0,,,
2020,Trentino-Alto Adige,regione,Attività sportiva,832.0,278801.0,,,
2020,Veneto,regione,Attività sportiva,3384.0,434554.0,,,
2020,Lazio,regione,Attività sportiva,863.0,671221.0,,,
2020,Marche,regione,Attività sportiva,2162.0,221314.0,,,
2020,Toscana,regione,Attività sportiva,8080.0,698807.0,,,
2020,Umbria,regione,Attività sportiva,747.0,170443.0,,,
2020,Abruzzo,regione,Attività sportiva,639.0,90044.0,,,
2020,Basilicata,regione,Attività sportiva,146.0,22973.0,,,
2020,Calabria,regione,Attività sportiva,154.0,151869.0,,,
2020,Campania,regione,Attività sportiva,565.0,425186.0,,,
2020,Molise,regione,Attività sportiva,92.0,11324.0,,,
2020,Puglia,regione,Attività sportiva,484.0,322111.0,,,
2020,Sardegna,regione,Attività sportiva,345.0,117858.0,,,
2020,Sicilia,regione,Attività sportiva,389.0,208135.0,,,
2019,Liguria,regione,Attività sportiva,2185.0,1097023.0,,,
2019,Lombardia,regione,Attività sportiva,33787.0,6624160.0,,,
2019,Piemonte,regione,Attività sportiva,16207.0,2857536.0,,,
2019,Valle d'Aosta,regione,Attività sportiva,338.0,15962.0,,,
2019,Emilia-Romagna,regione,Attività sportiva,10388.0,3597177.0,,,
2019,Friuli- Venezia Giulia,regione,Attività sportiva,4865.0,1028998.0,,,
2019,Trentino-Alto Adige,regione,Attività sportiva,2156.0,541465.0,,,
2019,Veneto,regione,Attività sportiva,10049.0,2068903.0,,,
2019,Lazio,regione,Attività sportiva,2276.0,2988551.0,,,
2019,Marche,regione,Attività sportiva,5654.0,883188.0,,,
2019,Toscana,regione,Attività sportiva,30391.0,3285286.0,,,
2019,Umbria,regione,Attività sportiva,2798.0,583215.0,,,
2019,Abruzzo,regione,Attività sportiva,1831.0,398218.0,,,
2019,Basilicata,regione,Attività sportiva,352.0,127777.0,,,
2019,Calabria,regione,Attività sportiva,647.0,648641.0,,,
2019,Campania,regione,Attività sportiva,1637.0,1435972.0,,,
2019,Molise,regione,Attività sportiva,221.0,23007.0,,,
2019,Puglia,regione,Attività sportiva,1676.0,1244510.0,,,
2019,Sardegna,regione,Attività sportiva,1413.0,622499.0,,,
2019,Sicilia,regione,Attività sportiva,1396.0,832913.0,,,
2018,Liguria,regione,Attività sportiva,2110.0,1204115.0,,,
2018,Lombardia,regione,Attività sportiva,35530.0,6593579.0,,,
2018,Piemonte,regione,Attività sportiva,19282.0,3193030.0,,,
2018,Valle d'Aosta,regione,Attività sportiva,408.0,24780.0,,,
2018,Emilia-Romagna,regione,Attività sportiva,10764.0,3223129.0,,,
2018,Friuli- Venezia Giulia,regione,Attività sportiva,4341.0,830033.0,,,
2018,Trentino-Alto Adige,regione,Attività sportiva,2028.0,620641.0,,,
2018,Veneto,regione,Attività sportiva,10418.0,2051381.0,,,
2018,Lazio,regione,Attività sportiva,2460.0,3239652.0,,,
2018,Marche,regione,Attività sportiva,5457.0,828742.0,,,
2018,Toscana,regione,Attività sportiva,29046.0,3042248.0,,,
2018,Umbria,regione,Attività sportiva,2928.0,471297.0,,,
2018,Abruzzo,regione,Attività sportiva,1927.0,367030.0,,,
2018,Basilicata,regione,Attività sportiva,469.0,132231.0,,,
2018,Calabria,regione,Attività sportiva,711.0,493139.0,,,
2018,Campania,regione,Attività sportiva,1684.0,1745803.0,,,
2018,Molise,regione,Attività sportiva,237.0,20302.0,,,
2018,Puglia,regione,Attività sportiva,1595.0,1124567.0,,,
2018,Sardegna,regione,Attività sportiva,1449.0,570164.0,,,
2018,Sicilia,regione,Attività sportiva,1394.0,804979.0,,,
2017,Liguria,regione,Attività sportiva,2206.0,1234484.0,,,
2017,Lombardia,regione,Attività sportiva,36986.0,6323924.0,,,
2017,Piemonte,regione,Attività sportiva,18267.0,3096605.0,,,
2017,Valle d'Aosta,regione,Attività sportiva,343.0,16868.0,,,
2017,Emilia-Romagna,regione,Attività sportiva,11604.0,3395056.0,,,
2017,Friuli- Venezia Giulia,regione,Attività sportiva,5026.0,776041.0,,,
2017,Trentino-Alto Adige,regione,Attività sportiva,2095.0,594666.0,,,
2017,Veneto,regione,Attività sportiva,9747.0,1868217.0,,,
2017,Lazio,regione,Attività sportiva,2684.0,2802726.0,,,
2017,Marche,regione,Attività sportiva,5828.0,804208.0,,,
2017,Toscana,regione,Attività sportiva,32414.0,3399501.0,,,
2017,Umbria,regione,Attività sportiva,2881.0,544835.0,,,
2017,Abruzzo,regione,Attività sportiva,2238.0,478470.0,,,
2017,Basilicata,regione,Attività sportiva,610.0,131827.0,,,
2017,Calabria,regione,Attività sportiva,687.0,470378.0,,,
2017,Campania,regione,Attività sportiva,1659.0,2138668.0,,,
2017,Molise,regione,Attività sportiva,321.0,19236.0,,,
2017,Puglia,regione,Attività sportiva,1839.0,1265752.0,,,
2017,Sardegna,regione,Attività sportiva,1368.0,504363.0,,,
2017,Sicilia,regione,Attività sportiva,1340.0,841801.0,,,
2016,Liguria,regione,Attività sportiva,2121.0,1253620.0,,,
2016,Lombardia,regione,Attività sportiva,38394.0,5886801.0,,,
2016,Piemonte,regione,Attività sportiva,18580.0,3113070.0,,,
2016,Valle d'Aosta,regione,Attività sportiva,334.0,18109.0,,,
2016,Emilia-Romagna,regione,Attività sportiva,11513.0,2963195.0,,,
2016,Friuli- Venezia Giulia,regione,Attività sportiva,5039.0,665871.0,,,
2016,Trentino-Alto Adige,regione,Attività sportiva,2415.0,600682.0,,,
